Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
16067749,-5.75,109.09,0.0,0.00,0.0,0.0,0.0
16131326,-5.81,109.62,0.0,0.00,0.0,0.0,0.0
16194903,-5.87,109.97,0.0,0.00,0.0,0.0,0.0
16258480,-5.92,110.50,0.0,0.00,0.0,0.0,0.0
16322057,-5.98,111.03,0.0,0.00,0.0,0.0,0.0
16385634,-6.04,111.55,0.0,0.00,0.0,0.0,0.0
16449211,-6.10,112.08,0.0,0.00,0.0,0.0,0.0
16512788,-6.16,112.61,0.0,0.00,0.0,0.0,0.0
16576365,-6.22,113.14,0.0,0.00,0.0,0.0,0.0
16639942,-6.28,113.67,0.0,0.00,0.0,0.0,0.0
16703519,-6.33,114.02,0.0,0.00,0.0,0.0,0.0
16767096,-6.39,114.55,0.0,0.00,0.0,0.0,0.0
16830673,-6.45,115.07,0.0,0.00,0.0,0.0,0.0
16894250,-6.51,115.60,0.0,0.00,0.0,0.0,0.0
16957827,-6.57,115.95,0.0,0.00,0.0,0.0,0.0
17021404,-6.63,116.48,0.0,0.00,0.0,0.0,0.0
17084981,-6.69,117.01,0.0,0.00,0.0,0.0,0.0
17148558,-6.74,117.54,0.0,0.00,0.0,0.0,0.0
17212135,-6.80,117.89,0.0,0.00,0.0,0.0,0.0
17275712,-6.86,118.42,0.0,0.00,0.0,0.0,0.0
17339289,-6.92,118.94,0.0,0.00,0.0,0.0,0.0
17402866,-6.98,119.30,0.0,0.00,0.0,0.0,0.0
17466443,-7.04,119.82,0.0,0.00,0.0,0.0,0.0
17530020,-7.10,120.18,0.0,0.00,0.0,0.0,0.0
17593597,-7.16,120.70,0.0,0.00,0.0,0.0,0.0
17657174,-7.21,121.06,0.0,0.00,0.0,0.0,0.0
17720751,-7.27,121.58,0.0,0.00,0.0,0.0,0.0
17784328,-7.33,122.11,0.0,0.00,0.0,0.0,0.0
17847905,-7.39,122.46,0.0,0.00,0.0,0.0,0.0
17911482,-7.45,122.99,0.0,0.00,0.0,0.0,0.0
17975059,-7.51,123.34,0.0,0.00,0.0,0.0,0.0
18038636,-7.57,123.87,0.0,0.00,0.0,0.0,0.0
18102213,-7.62,124.22,0.0,0.00,0.0,0.0,0.0
18165790,-7.68,124.57,0.0,0.00,0.0,0.0,0.0
18229367,-7.74,125.10,0.0,0.00,0.0,0.0,0.0
18292944,-7.80,125.45,0.0,0.00,0.0,0.0,0.0
18356521,-7.86,125.98,0.0,0.00,0.0,0.0,0.0
18420098,-7.86,126.33,0.0,0.00,0.0,0.0,0.0
18483675,-7.92,126.69,0.0,0.00,0.0,0.0,0.0
18547252,-7.98,127.21,0.0,0.00,0.0,0.0,0.0
18610829,-8.04,127.57,0.0,0.00,0.0,0.0,0.0
18674406,-8.09,127.92,0.0,0.00,0.0,0.0,0.0
18737983,-8.15,128.45,0.0,0.00,0.0,0.0,0.0
18801560,-8.21,128.80,0.0,0.00,0.0,0.0,0.0
18865137,-8.27,129.15,0.0,0.00,0.0,0.0,0.0
18928714,-8.33,129.68,0.0,0.00,0.0,0.0,0.0
18992291,-8.39,130.03,0.0,0.00,0.0,0.0,0.0
19055868,-8.45,130.38,0.0,0.00,0.0,0.0,0.0
19119445,-8.50,130.91,0.0,0.00,0.0,0.0,0.0
19183022,-8.56,131.26,0.0,0.00,0.0,0.0,0.0
19246599,-8.62,131.61,0.0,0.00,0.0,0.0,0.0
19310176,-8.68,131.96,0.0,0.00,0.0,0.0,0.0
19373753,-8.74,132.32,0.0,0.00,0.0,0.0,0.0
19437330,-8.80,132.84,0.0,0.00,0.0,0.0,0.0
19500907,-8.86,133.20,0.0,0.00,0.0,0.0,0.0
19564484,-8.86,133.55,0.0,0.00,0.0,0.0,0.0
19628061,-8.91,133.90,0.0,0.00,0.0,0.0,0.0
19691638,-8.97,134.25,0.0,0.00,0.0,0.0,0.0
19755215,-9.03,134.78,0.0,0.00,0.0,0.0,0.0
19818792,-9.09,135.13,0.0,0.00,0.0,0.0,0.0
19882369,-9.15,135.48,0.0,0.00,0.0,0.0,0.0
19945946,-9.21,135.84,0.0,0.00,0.0,0.0,0.0
20009523,-9.27,136.19,0.0,0.00,0.0,0.0,0.0
20073100,-9.33,136.54,0.0,0.00,0.0,0.0,0.0
20136677,-9.38,136.89,0.0,0.00,0.0,0.0,0.0
20200254,-9.44,137.24,0.0,0.00,0.0,0.0,0.0
20263831,-9.50,137.60,0.0,0.00,0.0,0.0,0.0
20327408,-9.50,137.95,0.0,0.00,0.0,0.0,0.0
20390985,-9.56,138.30,0.0,0.00,0.0,0.0,0.0
20454562,-9.62,138.65,0.0,0.00,0.0,0.0,0.0
20518139,-9.68,139.18,0.0,0.00,0.0,0.0,0.0
20581716,-9.74,139.35,0.0,0.00,0.0,0.0,0.0
20645293,-9.79,139.88,0.0,0.00,0.0,0.0,0.0
20708870,-9.85,140.06,0.0,0.00,0.0,0.0,0.0
20772447,-9.91,140.59,0.0,0.00,0.0,0.0,0.0
20836024,-9.97,140.76,0.0,0.00,0.0,0.0,0.0
20899601,-9.97,141.11,0.0,0.00,0.0,0.0,0.0
20963178,-10.03,141.47,0.0,0.00,0.0,0.0,0.0
21026755,-10.09,141.82,0.0,0.00,0.0,0.0,0.0
21090332,-10.15,142.17,0.0,0.00,0.0,0.0,0.0
21153909,-10.21,142.52,0.0,0.00,0.0,0.0,0.0
