Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
15792800,-12.55,158.71,31.6,1.62,5.7,32.1,10.3
15834825,-12.49,158.89,31.5,1.62,5.7,32.0,10.3
15876850,-12.49,158.89,31.5,1.62,5.7,32.0,10.3
15918875,-12.43,159.06,31.4,1.63,5.7,31.9,10.3
15960900,-12.38,159.06,31.3,1.63,5.7,31.8,10.3
16002925,-12.32,159.24,31.1,1.64,5.7,31.7,10.3
16044950,-12.32,159.24,31.1,1.64,5.7,31.7,10.3
16086975,-12.26,159.24,31.0,1.64,5.7,31.6,10.4
16129000,-12.26,159.24,31.0,1.64,5.7,31.6,10.4
16171025,-12.20,159.41,30.9,1.65,5.7,31.4,10.4
16213050,-12.14,159.41,30.8,1.66,5.7,31.3,10.5
16255075,-12.14,159.41,30.8,1.66,5.7,31.3,10.5
16297100,-12.08,159.41,30.7,1.66,5.7,31.2,10.6
16339125,-12.08,159.41,30.7,1.66,5.7,31.2,10.6
16381150,-12.02,159.41,30.6,1.67,5.8,31.1,10.6
16423175,-11.96,159.41,30.5,1.67,5.8,31.0,10.7
16465200,-11.96,159.41,30.5,1.67,5.8,31.0,10.7
16507225,-11.91,159.41,30.4,1.68,5.8,30.9,10.8
16549250,-11.91,159.59,30.4,1.68,5.7,30.9,10.7
16591275,-11.85,159.41,30.3,1.69,5.8,30.8,10.9
16633300,-11.85,159.41,30.3,1.69,5.8,30.8,10.9
16675325,-11.79,159.41,30.2,1.69,5.8,30.7,11.0
16717350,-11.79,159.41,30.2,1.69,5.8,30.7,11.0
16759375,-11.73,159.41,30.0,1.70,5.9,30.6,11.1
16801400,-11.67,159.41,29.9,1.71,5.9,30.5,11.1
16843425,-11.67,159.41,29.9,1.71,5.9,30.5,11.1
16885450,-11.61,159.24,29.8,1.71,6.0,30.4,11.3
16927475,-11.61,159.24,29.8,1.71,6.0,30.4,11.3
16969500,-11.55,159.24,29.7,1.72,6.0,30.3,11.4
17011525,-11.55,159.24,29.7,1.72,6.0,30.3,11.4
17053550,-11.50,159.06,29.6,1.73,6.1,30.2,11.6
17095575,-11.50,159.06,29.6,1.73,6.1,30.2,11.6
17137600,-11.44,159.06,29.5,1.73,6.1,30.1,11.7
17179625,-11.44,158.89,29.5,1.73,6.1,30.2,11.8
17221650,-11.38,158.89,29.4,1.74,6.2,30.1,11.8
17263675,-11.38,158.71,29.4,1.74,6.2,30.1,11.9
17305700,-11.32,158.71,29.3,1.75,6.2,30.0,12.0
17347725,-11.32,158.53,29.3,1.75,6.3,30.0,12.1
17389750,-11.26,158.53,29.2,1.75,6.3,29.9,12.2
17431775,-11.26,158.36,29.2,1.75,6.4,29.9,12.3
17473800,-11.26,158.36,29.2,1.75,6.4,29.9,12.3
17515825,-11.20,158.18,29.1,1.76,6.4,29.8,12.5
17557850,-11.20,158.18,29.1,1.76,6.4,29.8,12.5
17599875,-11.14,158.01,29.0,1.77,6.5,29.7,12.7
17641900,-11.14,158.01,29.0,1.77,6.5,29.7,12.7
17683925,-11.14,157.83,29.0,1.77,6.6,29.8,12.8
17725950,-11.09,157.83,28.9,1.77,6.6,29.7,12.9
17767975,-11.09,157.65,28.9,1.77,6.7,29.7,13.0
17810000,-11.03,157.48,28.8,1.78,6.7,29.6,13.2
17852025,-11.03,157.30,28.8,1.78,6.8,29.6,13.2
17894050,-11.03,157.30,28.8,1.78,6.8,29.6,13.2
17936075,-10.97,157.13,28.7,1.79,6.9,29.5,13.4
17978100,-10.97,156.95,28.7,1.79,6.9,29.6,13.5
18020125,-10.97,156.95,28.7,1.79,6.9,29.6,13.5
18062150,-10.91,156.77,28.6,1.80,7.0,29.5,13.7
18104175,-10.91,156.60,28.6,1.80,7.1,29.5,13.8
18146200,-10.85,156.42,28.5,1.80,7.1,29.4,14.0
18188225,-10.85,156.42,28.5,1.80,7.1,29.4,14.0
18230250,-10.85,156.25,28.6,1.80,7.2,29.4,14.1
18272275,-10.85,156.07,28.6,1.80,7.2,29.5,14.2
18314300,-10.79,155.89,28.5,1.81,7.3,29.4,14.4
18356325,-10.79,155.72,28.5,1.81,7.4,29.4,14.5
18398350,-10.79,155.54,28.5,1.81,7.4,29.4,14.6
18440375,-10.73,155.37,28.4,1.82,7.5,29.4,14.8
18482400,-10.73,155.37,28.4,1.82,7.5,29.4,14.8
