Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
47099993,-0.06,4.05,134.2,296.19,1402.4,1408.8,84.5
47292880,-0.06,4.22,123.3,296.19,1344.9,1350.5,84.8
47485767,-0.06,4.22,123.3,296.19,1344.9,1350.5,84.8
47678654,-0.06,4.40,113.7,296.19,1291.9,1296.9,85.0
47871541,-0.06,4.40,113.7,296.19,1291.9,1296.9,85.0
48064428,-0.06,4.57,105.2,296.19,1242.9,1247.3,85.2
48257315,-0.06,4.57,105.2,296.19,1242.9,1247.3,85.2
48450202,-0.06,4.57,105.2,296.19,1242.9,1247.3,85.2
48643089,-0.06,4.75,97.6,296.19,1197.4,1201.4,85.3
48835976,-0.06,4.75,97.6,296.19,1197.4,1201.4,85.3
49028863,-0.06,4.93,90.8,296.19,1155.1,1158.7,85.5
49221750,-0.06,4.93,90.8,296.19,1155.1,1158.7,85.5
49414637,-0.06,5.10,84.7,296.19,1115.7,1118.9,85.7
49607524,-0.06,5.10,84.7,296.19,1115.7,1118.9,85.7
49800411,-0.12,5.28,155.9,148.10,1061.8,1073.2,81.6
49993298,-0.12,5.28,155.9,148.10,1061.8,1073.2,81.6
50186185,-0.12,5.45,146.2,148.10,1028.9,1039.2,81.9
50379072,-0.06,5.45,74.2,296.19,1044.4,1047.0,85.9
50571959,-0.06,5.63,69.6,296.19,1012.0,1014.4,86.1
50764846,-0.12,5.63,137.4,148.10,997.9,1007.3,82.2
50957733,-0.12,5.81,129.3,148.10,968.7,977.3,82.4
51150620,-0.12,5.81,129.3,148.10,968.7,977.3,82.4
51343507,-0.12,5.98,121.9,148.10,941.1,949.0,82.6
51536394,-0.12,5.98,121.9,148.10,941.1,949.0,82.6
51729281,-0.06,6.16,58.3,296.19,925.8,927.7,86.4
51922168,-0.12,6.16,115.2,148.10,915.0,922.2,82.8
52115055,-0.23,6.16,220.1,74.05,874.2,901.5,75.9
52307942,-0.12,6.33,109.0,148.10,890.3,897.0,83.0
52500829,-0.12,6.33,109.0,148.10,890.3,897.0,83.0
52693716,-0.12,6.51,103.3,148.10,866.9,873.0,83.2
52886603,-0.12,6.69,98.0,148.10,844.6,850.3,83.4
53079490,-0.12,6.69,98.0,148.10,844.6,850.3,83.4
53272377,-0.12,6.86,93.1,148.10,823.5,828.7,83.6
53465264,-0.12,6.86,93.1,148.10,823.5,828.7,83.6
53658151,-0.12,7.04,88.5,148.10,803.3,808.2,83.7
53851038,-0.12,7.04,88.5,148.10,803.3,808.2,83.7
54043925,-0.12,7.04,88.5,148.10,803.3,808.2,83.7
54236812,-0.12,7.21,84.3,148.10,784.1,788.7,83.9
54429699,-0.12,7.21,84.3,148.10,784.1,788.7,83.9
54622586,-0.12,7.39,80.4,148.10,765.8,770.0,84.0
54815473,-0.12,7.57,76.8,148.10,748.3,752.3,84.1
55008360,-0.06,7.57,38.7,296.19,754.2,755.2,87.1
55201247,-0.12,7.57,76.8,148.10,748.3,752.3,84.1
55394134,-0.12,7.74,73.3,148.10,731.6,735.3,84.3
55587021,-0.06,7.74,36.9,296.19,737.1,738.0,87.1
55779908,-0.12,7.92,70.2,148.10,715.6,719.1,84.4
55972795,-0.12,7.92,70.2,148.10,715.6,719.1,84.4
56165682,-0.12,8.09,67.2,148.10,700.3,703.5,84.5
56358569,-0.06,8.27,32.4,296.19,690.1,690.9,87.3
56551456,-0.12,8.27,64.4,148.10,685.6,688.6,84.6
56744343,-0.12,8.27,64.4,148.10,685.6,688.6,84.6
56937230,-0.12,8.45,61.7,148.10,671.5,674.4,84.7
57130117,-0.06,8.45,31.1,296.19,675.7,676.5,87.4
57323004,-0.06,8.62,29.8,296.19,662.0,662.6,87.4
57515891,-0.06,8.62,29.8,296.19,662.0,662.6,87.4
57708778,-0.06,8.80,28.6,296.19,648.7,649.4,87.5
57901665,-0.06,8.80,28.6,296.19,648.7,649.4,87.5
58094552,-0.06,8.97,27.5,296.19,636.0,636.6,87.5
58287439,-0.06,8.97,27.5,296.19,636.0,636.6,87.5
58480326,-0.06,9.15,26.5,296.19,623.8,624.3,87.6
58673213,-0.06,9.15,26.5,296.19,623.8,624.3,87.6
58866100,-0.18,9.33,75.5,98.73,603.7,608.4,82.9
59058987,-0.12,9.85,45.5,148.10,576.5,578.3,85.5
59251874,-0.06,9.50,24.6,296.19,600.6,601.1,87.7
59444761,-0.06,9.50,24.6,296.19,600.6,601.1,87.7
59637648,-0.06,9.68,23.7,296.19,589.7,590.2,87.7
59830535,-0.06,9.68,23.7,296.19,589.7,590.2,87.7
