Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
10861146,0.41,118.77,1.6,42.32,29.6,29.6,86.9
10893365,0.41,118.59,1.6,42.32,29.7,29.7,86.9
10925584,0.41,118.42,1.6,42.32,29.8,29.8,86.9
10957803,0.41,118.24,1.6,42.32,29.9,29.9,86.9
10990022,0.41,118.06,1.6,42.32,30.0,30.0,86.9
11022241,0.41,117.89,1.6,42.32,30.1,30.1,86.9
11054460,0.35,117.71,1.4,49.37,30.2,30.2,87.4
11086679,0.35,117.54,1.4,49.37,30.3,30.3,87.4
11118898,0.35,117.54,1.4,49.37,30.3,30.3,87.4
11151117,0.35,117.36,1.4,49.37,30.4,30.4,87.4
11183336,0.35,117.18,1.4,49.37,30.5,30.5,87.4
11215555,0.35,117.01,1.4,49.37,30.6,30.6,87.4
11247774,0.35,116.83,1.4,49.37,30.7,30.8,87.4
11279993,0.35,116.66,1.4,49.37,30.8,30.9,87.4
11312212,0.35,116.48,1.4,49.37,30.9,31.0,87.4
11344431,0.35,116.30,1.4,49.37,31.0,31.1,87.4
11376650,0.35,116.13,1.4,49.37,31.1,31.2,87.4
11408869,0.35,115.95,1.4,49.37,31.3,31.3,87.4
11441088,0.35,115.78,1.4,49.37,31.4,31.4,87.4
11473307,0.35,115.78,1.4,49.37,31.4,31.4,87.4
11505526,0.35,115.60,1.4,49.37,31.5,31.5,87.4
11537745,0.35,115.43,1.4,49.37,31.6,31.6,87.4
11569964,0.35,115.25,1.4,49.37,31.7,31.7,87.4
11602183,0.35,115.07,1.4,49.37,31.8,31.8,87.4
11634402,0.35,114.90,1.4,49.37,31.9,31.9,87.4
11666621,0.35,114.72,1.4,49.37,32.0,32.0,87.4
11698840,0.35,114.55,1.4,49.37,32.1,32.1,87.4
11731059,0.35,114.55,1.4,49.37,32.1,32.1,87.4
11763278,0.35,114.37,1.4,49.37,32.2,32.3,87.5
11795497,0.35,114.19,1.4,49.37,32.3,32.4,87.5
11827716,0.35,114.02,1.4,49.37,32.4,32.5,87.5
11859935,0.35,113.84,1.4,49.37,32.5,32.6,87.5
11892154,0.35,113.67,1.4,49.37,32.7,32.7,87.5
11924373,0.35,113.49,1.4,49.37,32.8,32.8,87.5
11956592,0.35,113.31,1.5,49.37,32.9,32.9,87.5
11988811,0.35,113.31,1.5,49.37,32.9,32.9,87.5
12021030,0.35,113.14,1.5,49.37,33.0,33.0,87.5
12053249,0.35,112.96,1.5,49.37,33.1,33.1,87.5
12085468,0.35,112.79,1.5,49.37,33.2,33.2,87.5
12117687,0.35,112.61,1.5,49.37,33.3,33.4,87.5
12149906,0.35,112.43,1.5,49.37,33.4,33.5,87.5
12182125,0.35,112.26,1.5,49.37,33.5,33.6,87.5
12214344,0.35,112.26,1.5,49.37,33.5,33.6,87.5
12246563,0.35,112.08,1.5,49.37,33.7,33.7,87.5
12278782,0.35,111.91,1.5,49.37,33.8,33.8,87.5
12311001,0.35,111.73,1.5,49.37,33.9,33.9,87.5
12343220,0.35,111.55,1.5,49.37,34.0,34.0,87.5
12375439,0.35,111.38,1.5,49.37,34.1,34.1,87.5
12407658,0.35,111.20,1.5,49.37,34.2,34.2,87.5
12439877,0.35,111.03,1.5,49.37,34.3,34.4,87.5
12472096,0.35,111.03,1.5,49.37,34.3,34.4,87.5
12504315,0.29,110.85,1.2,59.24,34.4,34.5,87.9
12536534,0.29,110.67,1.2,59.24,34.6,34.6,87.9
12568753,0.29,110.50,1.2,59.24,34.7,34.7,87.9
12600972,0.29,110.32,1.3,59.24,34.8,34.8,87.9
12633191,0.29,110.15,1.3,59.24,34.9,34.9,87.9
12665410,0.29,110.15,1.3,59.24,34.9,34.9,87.9
12697629,0.29,109.97,1.3,59.24,35.0,35.0,87.9
12729848,0.29,109.79,1.3,59.24,35.1,35.2,87.9
12762067,0.29,109.62,1.3,59.24,35.2,35.3,87.9
12794286,0.29,109.44,1.3,59.24,35.4,35.4,87.9
12826505,0.29,109.27,1.3,59.24,35.5,35.5,88.0
12858724,0.29,109.09,1.3,59.24,35.6,35.6,88.0
12890943,0.29,109.09,1.3,59.24,35.6,35.6,88.0
12923162,0.29,108.91,1.3,59.24,35.7,35.7,88.0
12955381,0.29,108.74,1.3,59.24,35.8,35.8,88.0
12987600,0.29,108.56,1.3,59.24,35.9,36.0,88.0
13019819,0.29,108.39,1.3,59.24,36.1,36.1,88.0
13052038,0.29,108.21,1.3,59.24,36.2,36.2,88.0
13084257,0.29,108.21,1.3,59.24,36.2,36.2,88.0
13116476,0.29,108.04,1.3,59.24,36.3,36.3,88.0
13148695,0.29,107.86,1.3,59.24,36.4,36.4,88.0
13180914,0.29,107.68,1.3,59.24,36.5,36.5,88.0
13213133,0.29,107.51,1.3,59.24,36.6,36.7,88.0
13245352,0.29,107.33,1.3,59.24,36.8,36.8,88.0
13277571,0.29,107.33,1.3,59.24,36.8,36.8,88.0
13309790,0.29,107.16,1.3,59.24,36.9,36.9,88.0
13342009,0.29,106.98,1.3,59.24,37.0,37.0,88.0
13374228,0.29,106.80,1.3,59.24,37.1,37.1,88.0
13406447,0.29,106.63,1.3,59.24,37.2,37.3,88.0
13438666,0.29,106.63,1.3,59.24,37.2,37.3,88.0
13470885,0.29,106.45,1.3,59.24,37.4,37.4,88.0
13503104,0.29,106.28,1.3,59.24,37.5,37.5,88.0
13535323,0.29,106.10,1.3,59.24,37.6,37.6,88.0
13567542,0.29,105.92,1.3,59.24,37.7,37.7,88.0
