Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
107473624,-0.35,51.55,5.3,49.37,103.3,103.4,87.0
107666511,-0.35,52.96,5.1,49.37,100.2,100.3,87.1
107859398,-0.29,54.19,4.1,59.24,97.6,97.7,87.6
108052285,-0.29,55.60,3.9,59.24,94.7,94.8,87.7
108245172,-0.29,57.01,3.7,59.24,92.0,92.0,87.7
108438059,-0.29,58.42,3.5,59.24,89.3,89.4,87.7
108630946,-0.23,59.65,2.7,74.05,87.2,87.2,88.2
108823833,-0.23,61.06,2.6,74.05,84.7,84.8,88.2
109016720,-0.23,62.46,2.5,74.05,82.4,82.4,88.3
109209607,-0.18,63.87,1.8,98.73,80.2,80.2,88.7
109402494,-0.18,65.28,1.7,98.73,78.0,78.1,88.7
109595381,-0.18,66.69,1.7,98.73,76.0,76.0,88.7
109788268,-0.18,68.09,1.6,98.73,74.0,74.0,88.7
109981155,-0.06,69.50,0.5,296.19,72.1,72.1,89.6
110174042,-0.06,70.91,0.5,296.19,70.2,70.2,89.6
110366929,-0.06,72.32,0.5,296.19,68.4,68.4,89.6
110559816,-0.06,73.72,0.5,296.19,66.7,66.7,89.6
110752703,-0.00,75.31,0.0,?,64.8,64.8,90.0
110945590,-0.00,76.72,0.0,?,63.2,63.2,90.0
111138477,-0.00,78.12,0.0,?,61.6,61.6,90.0
111331364,-0.00,79.53,0.0,?,60.1,60.1,90.0
111524251,0.06,81.11,0.4,296.19,58.4,58.4,89.6
111717138,0.06,82.52,0.4,296.19,57.0,57.0,89.6
111910025,0.06,83.93,0.4,296.19,55.6,55.6,89.6
112102912,0.06,85.34,0.4,296.19,54.2,54.2,89.6
112295799,0.12,86.92,0.7,148.10,52.8,52.8,89.2
112488686,0.12,88.33,0.7,148.10,51.5,51.5,89.2
112681573,0.12,89.91,0.7,148.10,50.1,50.1,89.2
112874460,0.18,91.32,1.0,98.73,48.9,48.9,88.8
113067347,0.18,92.73,1.0,98.73,47.7,47.7,88.8
113260234,0.18,94.31,0.9,98.73,46.4,46.4,88.8
113453121,0.23,95.89,1.2,74.05,45.1,45.1,88.4
113646008,0.23,97.30,1.2,74.05,44.0,44.0,88.4
113838895,0.23,98.89,1.2,74.05,42.8,42.8,88.4
114031782,0.29,100.47,1.4,59.24,41.6,41.6,88.0
114224669,0.29,101.88,1.4,59.24,40.6,40.6,88.0
114417556,0.29,103.46,1.4,59.24,39.4,39.5,88.0
114610443,0.35,105.04,1.6,49.37,38.3,38.3,87.6
114803330,0.35,106.63,1.6,49.37,37.2,37.3,87.6
114996217,0.35,108.04,1.5,49.37,36.3,36.3,87.6
115189104,0.41,109.62,1.8,42.32,35.2,35.3,87.1
115381991,0.41,111.20,1.7,42.32,34.2,34.3,87.1
115574878,0.41,112.96,1.7,42.32,33.1,33.1,87.1
115767765,0.47,114.55,1.9,37.03,32.1,32.2,86.6
115960652,0.47,116.13,1.9,37.03,31.1,31.2,86.6
116153539,0.47,117.71,1.8,37.03,30.2,30.2,86.5
116346426,0.53,119.30,2.0,32.92,29.2,29.3,86.0
116539313,0.53,121.06,2.0,32.92,28.2,28.3,85.9
116732200,0.53,122.64,2.0,32.92,27.3,27.4,85.9
116925087,0.53,124.40,1.9,32.92,26.3,26.4,85.8
117117974,0.59,125.98,2.1,29.63,25.4,25.5,85.2
117310861,0.59,127.74,2.1,29.63,24.5,24.6,85.1
117503748,0.59,129.50,2.1,29.63,23.5,23.6,85.0
