Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20263831,-0.82,118.59,3.2,21.21,29.6,29.8,83.9
20327408,-0.82,119.30,3.2,21.21,29.2,29.4,83.8
20390985,-0.82,120.00,3.1,21.21,28.8,29.0,83.8
20454562,-0.82,120.70,3.1,21.21,28.4,28.5,83.7
20518139,-0.76,121.41,2.9,22.84,28.0,28.1,84.1
20581716,-0.76,122.11,2.9,22.84,27.6,27.7,84.1
20645293,-0.72,122.64,2.7,23.98,27.3,27.4,84.3
20708870,-0.70,123.34,2.6,24.74,26.9,27.0,84.5
20772447,-0.70,124.05,2.6,24.74,26.5,26.6,84.4
20836024,-0.64,124.75,2.4,26.99,26.1,26.2,84.8
20899601,-0.64,125.45,2.3,26.99,25.7,25.8,84.8
20963178,-0.64,125.98,2.3,26.99,25.4,25.5,84.8
21026755,-0.64,126.69,2.3,26.99,25.1,25.2,84.7
21090332,-0.64,127.39,2.3,26.99,24.7,24.8,84.7
21153909,-0.59,128.09,2.1,29.69,24.3,24.4,85.1
21217486,-0.59,128.80,2.1,29.69,23.9,24.0,85.1
21281063,-0.59,129.33,2.1,29.69,23.6,23.7,85.0
21344640,-0.59,130.03,2.0,29.69,23.3,23.4,85.0
21408217,-0.59,130.73,2.0,29.69,22.9,23.0,84.9
21471794,-0.56,131.44,1.9,30.92,22.5,22.6,85.1
21535371,-0.47,132.14,1.6,37.10,22.2,22.2,85.8
21598948,-0.47,132.84,1.6,37.10,21.8,21.9,85.8
21662525,-0.47,133.37,1.6,37.10,21.5,21.6,85.8
21726102,-0.47,134.08,1.6,37.10,21.2,21.2,85.7
21789679,-0.47,134.78,1.6,37.10,20.8,20.9,85.7
21853256,-0.47,135.48,1.6,37.10,20.4,20.5,85.6
21916833,-0.41,136.19,1.4,42.40,20.1,20.1,86.1
21980410,-0.41,136.89,1.4,42.40,19.7,19.8,86.0
22043987,-0.41,137.42,1.4,42.40,19.5,19.5,86.0
22107564,-0.41,138.12,1.4,42.40,19.1,19.2,86.0
22171141,-0.41,138.83,1.3,42.40,18.8,18.8,85.9
22234718,-0.40,139.53,1.3,43.15,18.4,18.5,85.9
22298295,-0.35,140.06,1.1,49.47,18.2,18.2,86.4
22361872,-0.29,140.76,0.9,59.36,17.8,17.8,87.0
22425449,-0.29,141.47,0.9,59.36,17.5,17.5,86.9
22489026,-0.29,142.17,0.9,59.36,17.1,17.2,86.9
22552603,-0.29,142.70,0.9,59.36,16.9,16.9,86.8
22616180,-0.29,143.40,0.9,59.36,16.5,16.6,86.8
22679757,-0.29,144.11,0.9,59.36,16.2,16.2,86.7
22743334,-0.29,144.81,0.9,59.36,15.9,15.9,86.7
22806911,-0.29,145.51,0.9,59.36,15.5,15.5,86.6
